16,37,36,40,94,30
16,45,73,83,40,66
33,92,28,44,93,81
36,50,54,75,80,65
38,62,64,46,72,43
20,86,26,8,85,67
37,56,84,23,40,77
23,94,45,58,94,80
26,69,37,17,66,75
27,34,71,61,47,99
27,71,11,92,52,62
30,70,98,56,33,57
30,38,54,28,86,67
32,72,36,85,99,55
32,67,56,86,78,93
28,36,33,95,95,47
38,99,69,26,91,90
22,66,42,14,50,54
18,47,69,27,54,73
36,39,23,79,81,96
19,42,16,6,51,43
23,64,5,86,85,92
21,47,44,91,79,75
44,80,27,43,33,44
32,48,24,31,31,82
43,91,87,89,62,51
19,69,66,27,98,32
26,99,83,25,66,90
20,76,41,54,57,36
32,32,13,31,64,39
44,78,14,84,81,62
40,72,22,25,64,43
22,78,48,40,95,30
39,84,43,60,66,65
21,59,86,99,40,78
37,46,68,88,94,57
41,81,1,51,55,90
44,50,20,26,44,78
40,77,53,87,32,87
44,72,53,29,60,55
35,74,25,60,85,89
15,90,62,51,64,77
21,92,75,11,42,48
44,65,85,14,56,42
32,36,76,76,58,81
30,86,26,50,46,58
35,82,9,40,35,77
29,86,61,7,72,36
18,77,73,85,67,40
20,38,63,41,83,60
29,40,10,6,51,58
34,48,65,37,38,42
20,74,96,88,37,74
37,55,53,43,92,38
36,68,37,87,35,43
32,54,6,9,49,66
19,82,84,96,70,83
33,42,50,44,65,56
40,93,35,45,92,97
25,91,77,59,75,81
23,93,34,38,59,78
25,42,27,66,39,37
31,71,8,32,57,75
39,93,78,76,88,72
31,98,63,38,69,72
23,88,65,76,76,62
27,71,82,50,47,30
17,42,56,52,84,39
19,34,29,24,37,61
36,73,32,39,97,74
30,93,51,83,50,65
29,99,7,78,80,71
43,90,53,64,84,73
31,73,45,54,40,57
21,78,57,28,90,66
17,43,74,41,89,88
29,63,93,78,59,88
29,91,18,25,42,80
19,45,76,6,84,42
31,31,54,22,34,67
31,52,16,78,58,53
37,97,76,19,55,50
32,81,96,93,99,32
15,56,2,62,81,38
20,56,79,57,67,31
23,76,74,55,62,46
16,71,44,38,67,42
43,40,87,94,44,52
40,75,62,52,74,63
27,39,83,39,37,54
27,73,43,21,62,75
22,36,46,52,67,86
32,55,25,85,43,40
25,35,87,22,68,73
36,93,22,13,32,42
34,66,32,61,30,47
29,37,6,26,85,77
28,78,60,51,34,86
19,39,36,21,35,32
29,83,88,9,30,69
16,95,70,61,81,50
40,57,40,52,74,98
22,90,20,20,45,85
15,70,87,75,56,46
43,80,96,81,84,73
15,84,39,11,76,94
40,81,49,40,90,65
40,41,49,13,54,73
42,88,67,67,30,89
18,65,60,98,38,57
41,80,84,39,81,75
32,77,78,27,83,89
43,76,19,50,61,76
36,48,96,90,57,66
16,53,73,31,74,95
29,65,48,34,55,83
38,57,29,11,70,64
31,88,41,37,42,55
38,94,57,38,44,34
42,71,88,32,58,30
36,35,14,33,52,53
19,90,67,43,84,58
38,52,81,49,76,42
32,49,84,12,61,46
23,78,77,37,81,72
16,63,16,91,86,32
33,56,96,22,50,58
18,91,30,41,37,67
31,38,95,50,91,62
17,40,26,34,58,49
21,63,2,3,99,65
27,41,58,63,63,55
24,59,83,31,41,46
42,75,57,66,74,75
40,39,90,50,74,76
25,42,76,22,43,84
28,67,45,23,51,34
26,78,75,32,80,69
43,43,76,70,63,88
39,42,67,53,41,40
17,31,37,84,37,37
43,41,89,45,74,73
30,74,98,5,62,69
28,90,67,98,67,95
43,82,51,75,66,57
19,95,28,48,44,80
15,92,43,17,91,78
31,64,35,59,89,68
28,34,8,42,91,82
18,57,7,40,43,75
15,66,90,72,90,80
39,95,26,37,89,74
15,73,61,30,42,69
25,77,36,79,73,43
32,32,95,30,97,60
29,41,91,39,44,62
22,36,98,85,88,54
18,89,39,15,30,44
35,75,48,96,40,50
36,79,8,0,75,55
41,99,50,94,32,71
25,90,75,37,31,39
34,43,9,43,61,50
18,31,93,42,34,51
30,38,97,78,84,76
31,39,47,98,56,92
36,41,54,88,58,58
31,38,28,94,86,79
17,96,12,62,50,86
32,35,24,0,72,50
20,89,57,48,57,38
19,94,3,10,89,44
18,97,2,29,41,86
31,37,23,18,86,44
42,71,7,56,35,39
37,38,35,63,75,52
43,69,48,81,52,35
23,59,62,70,73,66
36,86,44,97,96,96
44,73,99,15,33,94
16,83,72,57,85,60
31,96,73,48,86,97
26,43,41,92,42,53
44,52,36,50,67,79
30,54,45,40,76,84
15,36,35,46,94,57
34,79,67,35,68,47
20,71,26,62,96,53
29,41,60,54,52,91
44,79,48,84,36,36
29,99,32,83,37,55
29,58,62,18,46,58
23,45,91,77,38,40
30,39,27,94,32,76
16,49,42,1,83,74
35,38,94,73,80,49
22,78,89,91,59,47
34,79,75,46,79,75
39,79,95,81,93,68
27,60,97,84,54,61
22,87,12,13,81,38
29,56,43,11,34,97
17,60,59,40,41,61
44,33,12,0,80,75
34,74,86,60,67,64
42,54,33,94,84,42
27,34,58,64,59,59
19,61,19,12,34,47
22,50,78,69,31,65
29,53,69,85,43,91
