'Temperature', 'Humidity', 'Humidity of the terrain', 'Luminosity', 'Ph', 'Speed of the wind'
17,78,35,51,5,4
27,96,37,60,4,20
32,75,15,85,5,8
16,31,47,16,5,2
38,41,89,17,5,5
26,71,60,90,4,7
18,93,98,81,6,16
41,96,54,83,5,7
26,97,63,14,6,14
42,49,44,83,7,21
42,63,67,48,7,16
37,58,56,85,6,28
43,30,56,24,4,10
32,46,35,7,7,13
27,85,86,83,6,8
15,87,50,13,4,0
42,67,19,79,4,24
19,78,91,79,4,19
31,98,20,10,6,23
31,89,29,28,4,29
36,30,44,28,5,6
40,88,58,26,5,7
32,57,43,61,7,27
17,87,67,94,7,11
20,45,88,34,4,25
19,91,29,14,4,29
33,96,55,19,5,12
33,96,91,77,6,22
42,61,19,71,7,13
19,80,71,64,6,4
43,61,16,91,6,17
15,64,9,36,7,26
40,73,79,25,6,8
35,36,29,20,5,14
20,71,64,95,4,20
20,83,52,58,7,12
28,33,95,43,7,5
27,44,54,58,4,2
19,62,7,7,7,12
43,99,16,4,6,15
37,57,61,43,5,13
26,51,50,74,6,29
25,30,92,21,6,27
43,34,97,16,4,11
25,36,36,2,7,3
18,77,77,97,4,4
19,94,19,46,4,9
38,50,28,42,4,13
15,79,39,87,7,1
41,84,82,3,5,4
29,76,26,35,7,4
23,45,40,68,5,6
40,81,35,85,4,16
39,30,44,59,4,26
22,62,45,61,7,15
41,41,88,52,5,26
25,68,81,65,6,29
21,44,4,86,4,29
38,83,65,78,6,19
44,99,64,58,7,5
21,60,8,28,7,18
22,55,30,64,6,26
43,50,71,73,6,3
36,79,96,61,5,10
29,79,33,3,4,10
20,67,74,5,4,1
19,59,98,71,7,1
27,44,3,53,5,5
37,57,42,31,7,25
15,80,33,77,7,6
18,77,1,57,6,18
16,41,57,24,4,17
27,91,38,93,5,0
29,87,73,83,7,8
40,65,12,52,7,7
28,92,52,29,4,22
38,87,42,73,7,5
42,88,55,78,5,22
41,94,86,60,5,17
21,95,68,63,5,22
32,41,9,40,7,1
27,92,54,37,5,3
27,87,9,76,5,5
16,85,15,73,4,14
22,90,72,92,7,23
29,68,68,17,6,17
26,45,24,82,6,26
39,46,16,18,7,3
21,34,21,29,4,8
15,85,71,93,4,21
33,75,93,4,5,15
25,35,53,52,7,11
20,37,99,62,5,27
30,34,42,9,4,13
24,86,29,93,7,29
33,75,48,25,4,26
25,77,15,74,5,24
28,50,79,93,7,24
36,77,43,72,7,28
32,38,20,46,5,1
22,98,26,83,5,7
19,40,23,90,4,22
41,45,31,0,4,10
26,58,70,41,4,2
44,85,1,59,4,21
41,78,47,34,7,19
16,71,55,86,5,11
33,61,65,65,6,9
28,60,87,68,5,14
43,60,56,32,6,28
32,40,33,4,6,11
29,36,32,26,5,18
26,66,61,12,6,11
16,81,65,19,6,26
18,43,78,74,7,27
19,77,97,60,6,5
15,71,46,48,6,23
17,34,1,15,5,22
41,64,16,1,4,15
17,52,43,90,7,8
29,75,40,15,5,10
24,51,8,66,4,18
38,39,68,90,5,7
35,77,47,17,6,9
17,91,73,31,5,15
19,78,93,40,5,18
44,79,93,77,5,2
30,51,24,24,4,18
21,33,21,56,5,10
39,45,13,22,4,13
39,90,26,11,6,6
31,34,78,88,4,4
39,36,94,92,7,8
36,32,99,93,7,24
18,82,63,51,6,20
38,75,55,53,7,6
20,63,39,2,4,3
38,35,23,93,4,4
38,62,64,21,4,6
19,66,29,60,4,3
44,62,37,70,4,20
44,92,24,20,7,7
40,50,11,88,4,9
37,74,16,0,6,6
34,72,2,25,5,3
44,49,0,29,6,1
37,76,96,18,6,8
39,62,20,92,5,23
37,32,95,68,5,0
35,77,18,61,7,16
15,67,99,83,5,28
44,95,73,47,7,13
21,95,10,53,4,21
33,95,14,1,6,2
31,67,44,31,5,3
21,97,14,63,4,10
36,45,52,72,6,1
17,84,16,77,5,15
35,91,51,86,6,2
30,45,29,53,5,15
23,39,72,95,5,21
20,77,68,96,6,4
41,34,90,79,6,16
43,81,80,34,5,29
43,80,92,6,6,15
27,36,63,87,5,23
40,75,58,79,7,21
37,46,14,77,7,23
32,67,96,4,6,9
24,39,94,73,6,10
30,58,66,40,5,22
39,59,41,72,7,16
21,59,89,57,6,22
144,36,13,84,4,10
44,84,62,75,7,16
20,37,10,61,4,13
38,66,40,76,6,24
15,33,21,92,4,6
32,75,49,99,5,21
26,96,15,29,5,6
42,36,50,68,7,15
31,88,2,8,5,20
31,38,84,20,4,23
40,40,19,33,5,19
39,30,3,39,7,18
40,44,25,10,7,9
18,33,11,87,7,9
41,87,71,95,4,1
31,79,27,85,6,29
36,88,70,64,5,4
34,43,0,71,4,23
34,34,19,4,4,22
28,90,44,83,5,1
23,54,70,6,4,9
43,40,66,78,7,18
24,87,63,10,4,25
44,47,4,89,7,3
38,78,35,47,6,24
15,59,67,64,4,2
44,39,86,55,7,24
32,54,43,7,6,6
34,92,7,23,7,19
39,84,82,81,7,27
15,78,56,98,4,12
17,37,6,75,4,15
31,65,19,37,4,10
39,53,23,46,5,11
42,56,80,28,6,5
25,94,30,24,5,29
16,40,89,7,6,10
36,81,26,47,5,2
36,70,19,18,5,17
35,33,36,50,4,5
39,55,92,31,7,21
35,30,43,73,7,17
33,71,76,19,5,23
36,48,40,88,5,19
31,58,97,97,4,22
39,92,64,16,7,18
16,35,41,35,4,9
19,75,69,10,4,2
25,53,30,87,7,20
23,61,32,9,7,19
29,47,79,4,7,1
19,99,46,17,7,24
44,70,76,90,7,11
18,31,17,57,6,17
28,46,83,1,5,12
38,89,36,75,7,23
44,50,81,74,6,25
39,86,33,12,6,7
44,43,86,86,6,25
20,57,20,57,5,0
21,96,50,23,6,10
32,35,70,16,7,18
30,95,82,36,7,23
26,45,58,82,6,21
41,42,15,38,6,7
41,97,12,65,6,4
19,40,3,16,4,28
35,33,88,81,4,3
44,72,16,18,5,0
36,98,36,97,6,2
20,96,39,60,6,25
18,58,12,58,7,0
25,47,53,87,6,10
20,45,1,59,6,2
22,65,43,93,5,22
43,47,51,11,4,25
29,77,41,28,5,23
30,42,48,58,4,23
44,82,46,87,6,23
40,76,93,21,6,7
19,35,68,60,5,18
17,87,14,3,7,29
20,93,25,37,5,10
24,41,80,43,4,29
24,39,83,60,4,21
41,77,2,14,4,11
44,57,61,91,5,15
15,81,52,77,5,10
16,50,7,79,4,16
41,54,58,97,6,15
32,98,21,17,5,26
42,75,90,30,7,17
29,31,9,19,6,6
31,50,35,74,4,23
17,94,57,33,7,9
38,58,51,52,6,0
20,68,6,79,4,29
31,61,29,22,6,21
43,92,79,32,4,7
21,43,90,24,4,4
34,99,8,71,4,23
27,87,86,79,6,20
41,30,92,94,7,8
44,83,52,6,4,15
25,98,42,31,6,8
23,53,46,53,7,26
16,74,59,54,7,15
25,57,10,99,4,11
35,44,24,22,5,23
42,99,95,39,7,21
27,85,64,48,4,3
40,72,94,38,6,27
24,79,54,1,6,8
28,80,91,36,6,17
34,98,13,79,5,22
18,63,6,99,4,29
26,51,52,4,6,24
28,65,24,36,4,18
27,72,45,8,6,13
26,74,58,4,7,23
36,65,20,27,4,2
44,49,41,55,4,5
27,88,63,76,4,19
27,71,32,44,6,17
33,65,37,0,5,27
43,45,53,76,7,9
30,75,23,23,6,2
15,61,73,24,5,18
18,97,53,14,7,8
44,81,32,65,6,0
33,81,12,20,7,19
41,95,15,64,4,14
32,37,90,79,4,0
27,99,45,86,5,10
16,41,4,16,6,4
41,88,48,72,5,12
40,51,3,95,7,20
41,61,23,36,6,3
36,62,14,42,5,19
38,71,92,87,4,12
43,38,2,0,5,5
24,38,28,20,7,19
39,87,3,0,7,3
21,30,56,54,5,15
37,88,5,40,4,1
41,31,61,70,6,9
15,71,21,59,5,24
38,74,88,57,4,0
30,38,33,15,5,22
15,32,27,3,4,21
43,92,53,5,6,6
17,69,13,0,4,14
44,79,52,73,5,11
32,89,60,2,4,11
41,86,68,24,6,17
31,57,59,80,4,10
23,43,3,55,5,15
25,58,65,11,7,6
28,67,72,74,4,19
27,39,1,83,7,12
38,58,99,45,5,23
23,81,8,85,5,21
38,62,5,89,7,25
33,42,22,32,6,13
41,78,29,26,5,24
20,54,49,69,5,13
36,57,10,92,6,26
40,42,61,60,4,14
32,92,10,11,4,23
29,80,69,0,4,21
21,86,90,66,6,9
17,88,73,50,6,12
18,72,26,5,7,14
41,86,45,77,4,19
29,63,97,33,5,28
17,37,96,82,5,3
16,72,35,61,4,12
24,60,3,39,6,18
19,89,59,29,4,27
37,67,26,52,4,20
31,57,2,16,5,21
29,58,76,46,7,13
33,34,49,20,6,9
43,81,34,64,5,26
15,57,73,48,5,29
33,83,97,22,6,21
27,96,53,35,4,9
37,62,87,60,5,24
44,83,66,93,6,18
23,71,42,96,4,22
17,56,11,21,6,16
34,70,15,8,4,15
16,59,97,93,5,2
17,96,43,38,6,1
22,35,48,34,4,16
23,49,13,16,6,4
27,62,28,64,6,27
21,56,83,51,7,27
25,57,26,53,6,16
16,32,18,86,5,26
39,43,52,18,4,25
34,65,76,10,7,0
33,70,43,9,7,2
24,62,29,51,6,23
29,43,98,95,7,11
18,42,22,83,7,0
17,52,99,35,6,20
17,79,26,37,6,19
29,56,75,35,5,16
37,46,58,20,7,2
19,57,54,46,6,19
30,68,77,38,6,23
34,59,69,19,6,10
39,69,20,27,7,8
28,43,34,56,5,4
23,39,74,93,5,26
33,74,57,52,4,29
36,75,33,70,4,1
36,43,11,64,7,21
37,67,10,35,4,16
27,33,61,68,7,17
33,36,61,99,5,25
40,60,39,35,4,1
23,91,92,53,4,2
32,76,1,79,5,6
39,69,82,57,5,1
16,50,70,1,7,7
25,95,64,14,6,15
18,40,41,4,4,28
42,34,46,70,7,3
34,36,22,65,4,3
31,54,17,81,6,7
34,94,36,50,7,17
42,50,29,15,5,3
23,33,13,62,6,3
38,45,70,40,5,0
16,73,68,45,4,22
28,40,23,61,7,12
29,81,75,84,4,6
30,65,2,6,4,20
17,57,98,29,6,0
42,61,70,59,5,27
29,35,19,49,7,24
22,99,57,2,5,17
43,71,75,67,5,15
25,67,77,55,6,3
16,79,61,43,4,1
35,68,19,93,7,1
40,64,35,21,4,26
36,34,20,54,7,23
42,43,57,32,6,26
34,38,28,15,5,5
24,70,50,80,5,27
25,60,74,86,7,18
42,78,75,17,4,20
25,70,97,30,4,14
44,88,78,1,7,22
41,80,68,20,7,22
30,64,34,97,4,0
37,87,77,76,6,1
36,73,73,10,6,16
29,72,94,87,5,6
20,92,94,88,6,4
22,52,70,32,7,23
26,61,56,49,4,21
31,45,51,16,7,16
41,38,36,22,6,16
37,63,52,95,4,15
40,80,44,14,4,11
21,58,18,90,5,13
36,88,64,20,4,17
20,85,86,93,7,19
21,67,7,9,7,18
16,44,25,59,4,0
23,33,35,42,5,0
36,50,94,71,6,15
42,33,87,5,4,0
34,49,48,68,5,23
43,83,84,84,7,8
44,92,45,21,6,19
18,69,20,59,6,25
39,70,87,63,6,26
28,57,46,70,4,21
25,97,75,6,5,11
25,69,13,13,5,14
21,84,16,54,7,15
36,89,86,88,7,20
32,33,61,57,5,23
18,79,45,35,4,3
17,95,38,24,4,25
30,59,29,94,4,28
17,31,52,71,7,1
44,41,20,77,4,4
34,94,37,78,7,4
24,89,79,22,5,6
40,35,45,39,7,11
23,79,85,97,4,13
31,86,51,74,6,17
22,57,18,6,6,12
25,30,97,49,7,14
38,83,51,57,7,8
23,89,76,20,4,22
37,72,21,91,5,18
21,39,21,91,6,14
20,60,72,99,4,18
21,65,88,4,5,5
20,71,40,48,4,18
18,35,45,64,5,5
16,56,29,90,4,27
34,90,79,23,5,4
25,65,7,10,6,0
25,45,21,84,4,25
22,54,46,24,5,14
31,93,32,33,7,20
16,95,18,69,5,17
20,51,44,48,5,1
31,79,80,89,5,17
22,46,29,69,5,20
23,97,3,91,4,26
23,35,57,94,4,17
41,43,6,21,7,22
32,79,88,12,5,25
30,46,9,67,4,7
44,87,99,69,5,12
28,93,0,56,5,8
44,73,35,23,6,3
16,68,87,67,6,16
35,42,95,93,7,17
34,66,60,53,7,21
23,50,11,3,5,10
44,95,4,59,6,5
29,33,69,58,4,11
26,70,50,30,5,29
17,76,16,64,6,2
39,38,54,83,6,2
15,93,47,53,6,4
18,52,75,13,5,23
34,73,1,19,5,21
40,40,31,60,5,15
24,37,70,86,5,20
44,69,15,86,7,25
25,68,77,70,4,25
19,81,58,76,5,5
24,97,0,49,7,3
29,67,97,85,4,23
27,78,52,90,6,21
43,60,81,81,7,14
35,88,56,17,6,28
16,83,3,31,4,10
33,42,2,18,5,8
31,39,74,75,5,5
39,90,85,12,5,25
33,77,12,50,5,24
38,32,99,39,4,29
24,98,5,24,5,16
21,94,75,25,4,25
40,61,30,86,7,27
43,69,42,75,6,21
44,47,89,60,7,3
37,84,15,32,5,3
33,83,9,67,7,15
38,48,28,53,6,24
21,94,41,45,7,15
32,53,48,49,4,2
21,52,11,73,5,6
39,40,87,56,5,13
44,39,42,3,5,28
18,65,10,67,7,2
28,51,91,77,4,18
41,73,37,70,6,23
35,30,1,94,4,26
43,54,74,88,7,6
38,84,45,1,7,19
44,96,55,85,7,29
43,34,33,78,7,1
19,47,97,44,5,20
32,40,39,32,7,8
16,56,24,60,7,29
16,64,65,88,7,16
43,52,58,37,5,10
35,70,10,52,6,7
26,62,48,41,6,8
43,94,59,12,5,11
35,89,8,99,4,20
32,93,10,12,7,11
18,64,33,63,4,2
43,92,38,97,4,9
30,73,12,81,6,14
15,51,13,87,5,11
41,72,5,52,7,12
28,64,36,74,5,9
32,87,83,75,7,9
29,52,33,69,4,7
23,66,52,66,4,13
21,92,30,67,6,4
33,53,85,60,5,26
42,99,90,39,5,18
27,83,85,0,5,17
21,33,30,72,4,6
37,80,75,62,4,2
20,96,54,74,4,12
22,43,95,67,4,2
36,42,67,75,5,20
17,85,68,55,4,25
26,35,49,9,5,13
29,53,83,77,4,15
40,32,65,63,7,13
34,34,75,5,7,11
31,47,14,17,6,11
27,89,79,66,7,20
32,85,90,72,4,4
26,73,6,49,6,12
21,97,64,10,6,8
