id,valor
0,27.645953945574572
1,25.697299505860077
2,24.209991379549898
3,23.44018522572452
4,22.77073984899103
5,21.991202093771026
6,21.764178253516395
7,21.284411458995763
8,21.20903225248055
9,20.750036615910222
10,20.765067759315887
11,20.72658836494132
12,20.48445000871965
13,20.457596553233792
14,20.212434557392893
15,19.938605281695924
16,19.833073897025365
17,19.683744506586525
18,19.45889907568794
19,19.821774057622022
20,19.88511015219249
21,20.076947183392573
22,19.836578770827362
23,19.574202770646252
24,19.527272031482212
25,19.487874790959655
26,19.28720216663931
27,19.589199727564292
28,19.866906689429783
29,19.74453757557268
30,19.602894614621157
31,19.587969986841284
32,19.872729266351012
33,19.645742473322404
34,19.580809667588895
35,19.33773898503226
36,19.352329207705086
37,19.422146912423322
38,19.311512365014757
39,19.195666423336917
40,19.15711902596621
41,19.567838813915227
42,19.417849487898675
43,19.244269104832508
44,19.42609745143432
45,19.553575763435003
46,19.709363637611162
47,19.726742580442192
48,19.653403940068717
49,19.846251530806775
