id,valor
0,27.48940300549081
1,25.523886642936688
2,24.353755528966033
3,23.3991523332705
4,22.7266004496071
5,22.052024237609285
6,21.78581008276029
7,21.533170753801894
8,20.999127322981106
9,20.89100347310388
10,20.91465348367614
11,20.802159363204236
12,20.475832539815332
13,20.132804143942614
14,20.204508561408428
15,19.85681145175499
16,20.126723885252442
17,19.933834864197948
18,19.737290568973275
19,19.557141702669846
20,19.417250656320675
21,19.201084892208733
22,19.469880830913766
23,19.7464518713981
24,19.460285638335616
25,19.31623575113453
26,19.36406659286231
27,19.70716875517861
28,19.724403600885772
29,19.755347173908458
30,19.67471107025871
31,19.84606232315486
32,19.718004963434932
33,19.478337612522534
34,19.7683608114473
35,19.649669267335508
36,19.50160590365047
37,19.77562107729534
38,19.77134005496461
39,19.620502773744892
40,19.766057087417362
41,19.98555139032029
42,19.986698937641123
43,20.1146031241378
44,19.9943191502254
45,19.669378644680535
46,19.397085545103593
47,19.33070091517921
48,19.55625964035974
49,19.787568421238795
