'Temperature', 'Humidity', 'Humidity of the terrain', 'Luminosity', 'Ph', 'Speed of the wind'
44,36,13,84,4,10
44,84,62,75,7,16
20,37,10,61,4,13
38,66,40,76,6,24
15,33,21,92,4,6
32,75,49,99,5,21
26,96,15,29,5,6
42,36,50,68,7,15
31,88,2,8,5,20
31,38,84,20,4,23
40,40,19,33,5,19
39,30,3,39,7,18
40,44,25,10,7,9
18,33,11,87,7,9
41,87,71,95,4,1
31,79,27,85,6,29
36,88,70,64,5,4
34,43,0,71,4,23
34,34,19,4,4,22
28,90,44,83,5,1
23,54,70,6,4,9
43,40,66,78,7,18
24,87,63,10,4,25
44,47,4,89,7,3
38,78,35,47,6,24
15,59,67,64,4,2
44,39,86,55,7,24
32,54,43,7,6,6
34,92,7,23,7,19
39,84,82,81,7,27
15,78,56,98,4,12
17,37,6,75,4,15
31,65,19,37,4,10
39,53,23,46,5,11
42,56,80,28,6,5
25,94,30,24,5,29
16,40,89,7,6,10
36,81,26,47,5,2
36,70,19,18,5,17
35,33,36,50,4,5
39,55,92,31,7,21
35,30,43,73,7,17
33,71,76,19,5,23
36,48,40,88,5,19
31,58,97,97,4,22
39,92,64,16,7,18
16,35,41,35,4,9
19,75,69,10,4,2
25,53,30,87,7,20
23,61,32,9,7,19
29,47,79,4,7,1
19,99,46,17,7,24
44,70,76,90,7,11
18,31,17,57,6,17
28,46,83,1,5,12
38,89,36,75,7,23
44,50,81,74,6,25
39,86,33,12,6,7
44,43,86,86,6,25
20,57,20,57,5,0
21,96,50,23,6,10
32,35,70,16,7,18
30,95,82,36,7,23
26,45,58,82,6,21
41,42,15,38,6,7
41,97,12,65,6,4
19,40,3,16,4,28
35,33,88,81,4,3
44,72,16,18,5,0
36,98,36,97,6,2
20,96,39,60,6,25
18,58,12,58,7,0
25,47,53,87,6,10
20,45,1,59,6,2
22,65,43,93,5,22
43,47,51,11,4,25
29,77,41,28,5,23
30,42,48,58,4,23
44,82,46,87,6,23
40,76,93,21,6,7
19,35,68,60,5,18
17,87,14,3,7,29
20,93,25,37,5,10
24,41,80,43,4,29
24,39,83,60,4,21
41,77,2,14,4,11
44,57,61,91,5,15
15,81,52,77,5,10
16,50,7,79,4,16
41,54,58,97,6,15
32,98,21,17,5,26
42,75,90,30,7,17
29,31,9,19,6,6
31,50,35,74,4,23
17,94,57,33,7,9
38,58,51,52,6,0
20,68,6,79,4,29
31,61,29,22,6,21
43,92,79,32,4,7
21,43,90,24,4,4
34,99,8,71,4,23
27,87,86,79,6,20
41,30,92,94,7,8
44,83,52,6,4,15
25,98,42,31,6,8
23,53,46,53,7,26
16,74,59,54,7,15
25,57,10,99,4,11
35,44,24,22,5,23
42,99,95,39,7,21
27,85,64,48,4,3
40,72,94,38,6,27
24,79,54,1,6,8
28,80,91,36,6,17
34,98,13,79,5,22
