'Temperature', 'Humidity', 'Humidity of the terrain', 'Luminosity', 'Ph', 'Speed of the wind'
38,82,54,40,6,1
40,92,88,62,6,13
33,40,52,70,4,25
35,37,71,63,7,22
39,89,49,73,7,14
31,64,92,75,6,0
16,82,61,19,5,9
29,63,51,64,7,21
32,58,46,7,4,21
34,83,88,83,5,4
19,30,79,48,4,27
33,60,68,34,7,19
43,88,87,38,7,6
28,92,7,35,7,4
42,49,43,29,4,11
27,92,88,71,4,13
23,97,80,24,7,17
15,53,43,73,6,17
19,33,43,1,7,10
31,32,86,6,6,13
42,43,19,41,6,23
22,33,40,11,6,19
22,98,27,59,7,16
20,35,67,93,7,27
40,61,35,46,7,26
37,52,57,63,5,11
44,53,43,34,5,18
43,81,94,98,5,29
15,65,46,21,5,8
24,74,32,59,4,5
25,30,19,99,4,5
20,78,99,19,6,1
40,88,41,49,5,11
44,64,97,55,7,7
21,86,94,40,7,5
39,69,73,48,4,13
37,49,82,62,7,13
30,49,87,96,5,27
24,47,56,20,6,28
20,87,36,69,7,28
17,67,95,69,6,12
29,32,47,43,6,14
34,41,1,13,4,29
18,59,68,40,4,8
37,44,22,4,4,15
28,74,78,23,5,26
24,40,49,69,6,1
27,32,9,44,5,28
35,89,61,17,6,0
34,69,74,79,6,23
27,88,53,53,7,3
25,87,95,1,6,21
34,50,63,24,5,26
16,82,85,52,4,2
35,50,8,82,4,25
29,45,56,13,6,14
19,49,3,55,6,12
19,96,5,87,4,10
16,98,81,93,4,21
32,76,87,87,4,19
16,68,61,26,4,2
35,37,47,76,7,12
36,45,54,7,5,21
43,61,50,1,5,24
43,79,49,81,5,3
27,58,46,70,6,4
15,55,70,66,6,1
24,33,30,50,4,10
43,73,25,27,4,14
18,93,43,0,4,1
35,53,26,62,5,22
34,52,96,61,5,22
31,91,75,86,5,26
17,47,22,17,6,14
43,77,49,0,4,29
20,50,47,92,4,27
18,66,81,65,5,21
17,55,90,85,6,15
39,62,95,65,5,0
42,68,36,81,7,8
35,34,27,52,6,19
24,67,43,92,6,16
28,89,9,67,7,29
40,38,64,87,5,26
34,31,15,21,7,16
15,31,16,86,7,9
28,31,90,75,7,27
38,49,85,50,5,28
19,43,35,74,4,22
44,66,20,40,4,14
20,90,64,5,5,10
25,88,32,97,6,23
23,94,37,99,4,8
27,52,40,29,6,28
40,91,12,14,7,19
15,87,53,67,7,16
41,48,21,96,6,1
15,97,97,42,4,3
38,34,69,50,7,15
31,33,31,14,4,9
27,50,94,88,6,6
38,77,84,40,4,0
